iter	Passed	Remaining
0	1	145
1	2	136
2	3	128
3	4	119
4	6	118
5	7	116
6	8	116
7	9	114
8	11	113
9	12	111
10	13	110
11	14	109
12	16	108
13	17	106
14	18	105
15	19	104
16	21	103
17	22	101
18	23	100
19	24	99
20	26	97
21	27	96
22	28	95
23	29	94
24	30	92
25	32	91
26	33	90
27	34	89
28	35	87
29	37	86
30	38	85
31	39	84
32	40	82
33	42	81
34	43	80
35	44	79
36	45	78
37	47	76
38	48	75
39	49	74
40	50	73
41	51	70
42	52	69
43	53	68
44	54	67
45	56	66
46	57	64
47	58	63
48	60	62
49	61	61
50	62	60
51	63	58
52	65	57
53	66	56
54	67	54
55	68	53
56	69	52
57	70	51
58	72	50
59	73	48
60	74	47
61	76	46
62	77	45
63	78	44
64	79	43
65	81	41
66	82	40
67	83	39
68	84	38
69	85	36
70	87	35
71	88	34
72	89	33
73	91	31
74	92	30
75	93	29
76	94	28
77	95	27
78	97	25
79	98	24
80	99	23
81	100	22
82	102	20
83	103	19
84	104	18
85	105	17
86	107	16
87	108	14
88	109	13
89	110	12
90	112	11
91	113	9
92	114	8
93	115	7
94	117	6
95	118	4
96	119	3
97	120	2
98	122	1
99	123	0
