iter	RMSE
0	14.60284567
1	14.21523992
2	13.84130975
3	13.50446313
4	13.16626133
5	12.83314239
6	12.50110557
7	12.1942636
8	11.90301754
9	11.62927995
10	11.35738663
11	11.08701145
12	10.85027267
13	10.63007695
14	10.40616644
15	10.19038783
16	10.00429231
17	9.797358564
18	9.600914087
19	9.417100527
20	9.238951842
21	9.07575505
22	8.920699651
23	8.778827924
24	8.643357956
25	8.49654878
26	8.370874782
27	8.24278285
28	8.1208224
29	7.995870099
30	7.888767863
31	7.784135824
32	7.677217557
33	7.572734599
34	7.483207649
35	7.400692542
36	7.317903248
37	7.224649317
38	7.144631418
39	7.072302454
40	7.009794079
41	6.956035279
42	6.890248068
43	6.82350973
44	6.765405115
45	6.705285828
46	6.650677654
47	6.596330781
48	6.549089182
49	6.498660578
50	6.450366683
51	6.405922678
52	6.369913692
53	6.323643041
54	6.288141385
55	6.251194017
56	6.214629649
57	6.183597406
58	6.153722695
59	6.130236656
60	6.102225197
61	6.071866481
62	6.046733618
63	6.02733943
64	6.004838731
65	5.983485687
66	5.960180041
67	5.938720842
68	5.920466882
69	5.903354464
70	5.88199979
71	5.858525542
72	5.842069373
73	5.821382011
74	5.805245904
75	5.789857916
76	5.777285997
77	5.758330609
78	5.743331817
79	5.728542219
80	5.716238246
81	5.703064444
82	5.693117867
83	5.680536798
84	5.668429451
85	5.655925968
86	5.647013621
87	5.637464745
88	5.626046205
89	5.617774134
90	5.607677624
91	5.598511018
92	5.588445965
93	5.578261725
94	5.570552587
95	5.563395824
96	5.556183388
97	5.548299001
98	5.541579191
99	5.530971927
100	5.524207927
101	5.518327422
102	5.514070476
103	5.507237944
104	5.502853012
105	5.494576577
106	5.487094671
107	5.479923393
108	5.475795183
109	5.469409619
110	5.46374504
111	5.457094143
112	5.452857412
113	5.447414466
114	5.443557852
115	5.438620067
116	5.430538245
117	5.429285825
118	5.422994498
119	5.415811613
120	5.408931135
121	5.405369719
122	5.401607987
123	5.396523869
124	5.393943868
125	5.388194801
126	5.380472576
127	5.379398636
128	5.375306679
129	5.37056172
130	5.366187928
131	5.362945392
132	5.355519409
133	5.352712101
134	5.350205213
135	5.346246787
136	5.340432947
137	5.334197262
138	5.33145931
139	5.329427169
140	5.327341924
141	5.323950169
142	5.320203162
143	5.316714051
144	5.31363518
145	5.307552624
146	5.301594482
147	5.297452933
148	5.293877437
149	5.289957379
150	5.284810359
151	5.281346828
152	5.277543671
153	5.273587559
154	5.271195097
155	5.267747005
156	5.262115691
157	5.25913598
158	5.256814882
159	5.253852374
160	5.250581446
161	5.245971372
162	5.24222946
163	5.237885566
164	5.235757562
165	5.234820485
166	5.233540593
167	5.22600101
168	5.221586348
169	5.218705744
170	5.215266097
171	5.210019907
172	5.205970575
173	5.201434504
174	5.199744253
175	5.198423391
176	5.196261016
177	5.194035259
178	5.190658819
179	5.188089362
180	5.186766822
