iter	Passed	Remaining
0	1	1497
1	2	1400
2	4	1353
3	5	1316
4	6	1307
5	9	1562
6	10	1557
7	12	1509
8	13	1477
9	14	1454
10	15	1430
11	17	1409
12	18	1388
13	19	1357
14	20	1346
15	21	1336
16	25	1471
17	27	1485
18	28	1486
19	30	1471
20	31	1460
21	32	1449
22	33	1437
23	35	1427
24	36	1408
25	38	1447
26	40	1442
27	41	1435
28	42	1426
29	43	1417
30	45	1413
31	46	1410
32	47	1400
33	48	1390
34	50	1379
35	51	1371
36	53	1385
37	55	1412
38	57	1410
39	58	1405
40	60	1406
41	61	1394
42	62	1393
43	63	1386
44	64	1377
45	67	1393
46	68	1393
47	69	1386
48	71	1378
49	74	1423
50	76	1422
51	77	1414
52	78	1405
53	79	1398
54	82	1413
55	83	1415
56	85	1409
57	86	1400
58	87	1393
59	88	1388
60	89	1380
61	90	1374
62	91	1367
63	92	1357
64	93	1351
65	95	1345
66	97	1362
67	99	1357
68	100	1351
69	101	1345
70	102	1339
71	103	1334
72	104	1328
73	105	1322
74	106	1317
75	107	1312
76	108	1304
77	110	1302
78	112	1310
79	113	1306
80	114	1302
81	115	1296
82	116	1292
83	118	1287
84	119	1282
85	120	1278
86	121	1271
87	122	1267
88	123	1263
89	124	1261
90	126	1264
91	127	1262
92	128	1258
93	130	1254
94	131	1250
95	132	1246
96	133	1242
97	134	1238
98	135	1235
99	136	1232
100	138	1228
101	139	1227
102	140	1226
103	142	1224
104	143	1220
105	144	1217
106	145	1214
107	146	1213
108	148	1211
109	149	1208
110	150	1204
111	151	1201
112	152	1198
113	154	1201
114	156	1201
115	157	1198
116	158	1195
117	158	1187
118	159	1184
119	161	1180
120	162	1177
121	163	1175
122	164	1172
123	165	1169
124	166	1166
125	167	1165
126	170	1171
127	171	1167
128	172	1165
129	173	1163
130	174	1160
131	176	1157
132	177	1155
133	178	1152
134	179	1149
135	180	1146
136	181	1144
137	183	1145
138	184	1144
139	185	1140
140	186	1137
141	187	1135
142	188	1132
143	190	1129
